run_id,variant_id,start_time,end_time,duration_minutes,status,rescue_run,rescue_reason,modifications,oof_stacker_auc,oof_stacker_pr_auc,oof_stacker_f1,optimal_f1_threshold,optimal_f2_threshold,cv_results_path,stacker_json_path,log_path,notes
stacker_production_20260317_attempt1,production_stacker_gpu,2026-03-17T08:52:02Z,2026-03-17T08:55:24Z,3.4,failed,false,,,"","","","","",,,/experiment/YuNing/bitoguard-hackathon/bitoguard_core/runs/stacker_production_20260317_stdout.log,"CatBoost CUDA OOM: only 358 MiB free / 7778 MiB total GPU. Xorg+gnome+vscode+chrome+2xpython3 occupying 7420 MiB."
stacker_production_20260317_rescue_oom,production_stacker_cpu,2026-03-17T08:56:01Z,2026-03-17T17:52:00Z,55.9,success,true,GPU_OOM,"BITOGUARD_USE_GPU: 1->0 (CPU-only execution; no architecture/hyperparameter change)",1.0,1.0,1.0,1.0,1.0,/experiment/YuNing/bitoguard-hackathon/bitoguard_core/artifacts/models/cv_results_20260317T095216Z.json,/experiment/YuNing/bitoguard-hackathon/bitoguard_core/artifacts/models/stacker_20260317T095216Z.json,/experiment/YuNing/bitoguard-hackathon/bitoguard_core/runs/stacker_rescue_final.log,"Successful. 5-fold OOF complete. All 12 artifacts written. Stacker version: stacker_20260317T095216Z"
