iter	Logloss
122	0.2594520761
123	0.2593816591
124	0.2593290216
125	0.2592638032
126	0.2592091684
127	0.2591550773
128	0.2591096654
129	0.259049726
130	0.258965384
131	0.2589004922
132	0.2588472981
133	0.2588144511
134	0.2587783632
135	0.2587438646
136	0.2586835195
137	0.2586369858
138	0.2585789741
139	0.258534991
140	0.2584839535
141	0.2584409959
142	0.2583702449
143	0.2583208055
144	0.2582037393
145	0.2581110257
146	0.2580740302
147	0.2580005093
148	0.2579582244
149	0.2579215017
150	0.2578786264
151	0.2578384927
152	0.25779633
153	0.2577044821
154	0.2575827013
155	0.2575097613
156	0.2574431881
157	0.25740327
158	0.2573628194
159	0.25731568
160	0.2572627969
161	0.2572390002
162	0.2572135756
163	0.2571642852
164	0.2571205684
165	0.2570730879
166	0.2569653316
167	0.2568715856
168	0.2568468076
169	0.2568103252
170	0.256735013
171	0.2566007845
172	0.2565703857
173	0.2564908809
174	0.2564692835
175	0.2564355385
176	0.2563942874
177	0.2563600679
178	0.2563100636
179	0.2562628319
180	0.2562129604
181	0.2561743125
182	0.2561095454
183	0.2560661122
184	0.2560047301
185	0.2559401998
186	0.2558608977
187	0.2558446414
188	0.2558098381
189	0.2557316174
190	0.2556404467
191	0.2555628003
192	0.2555026424
193	0.2554642176
194	0.255430098
195	0.2554010188
196	0.2553442952
197	0.255307055
198	0.2552347238
199	0.2552024452
200	0.2551671204
201	0.2551057068
202	0.2550524398
203	0.2550164381
204	0.2549563402
205	0.2548980837
206	0.2548538388
207	0.2548067868
208	0.2547635753
209	0.2547391116
210	0.2546960393
211	0.2546079616
212	0.2545600909
213	0.2545109676
214	0.2544709052
215	0.2544202397
216	0.2543674798
217	0.2543068482
218	0.2542275642
219	0.254171719
220	0.2540915907
221	0.2540450791
222	0.2539985109
223	0.2539748246
224	0.25393987
225	0.2539028397
226	0.2538586789
227	0.2537874863
228	0.2537171432
229	0.2536626021
230	0.2536190767
231	0.253577629
232	0.2535537182
233	0.2534890942
234	0.25344451
235	0.2534040017
236	0.2533626929
237	0.253323708
238	0.2532936809
239	0.2532545962
240	0.2532201118
241	0.2531753052
242	0.2531285486
243	0.2530908116
244	0.2530529622
245	0.2530088763
246	0.2529794321
247	0.2529412397
248	0.2529026116
249	0.2528590729
250	0.2528213954
251	0.2527797302
252	0.2527397865
253	0.2527020547
254	0.2526564628
255	0.2526317766
256	0.2525849342
257	0.2525150711
258	0.2524749593
259	0.2524086138
260	0.2523785508
261	0.2522880993
262	0.2522508048
263	0.2521987656
264	0.2521537238
265	0.2521174881
266	0.2520756113
267	0.2520450203
268	0.251984839
269	0.2518948733
270	0.2518591293
271	0.2517777962
272	0.2517442886
273	0.2516850483
274	0.2516502446
275	0.2516276559
276	0.2515914034
277	0.2515604658
278	0.2515239957
279	0.2514927497
280	0.2514619243
281	0.2514166943
282	0.2513551286
283	0.2513236392
284	0.2512904543
285	0.2512527411
286	0.2512038028
287	0.2511484389
288	0.2511158166
289	0.2510794246
290	0.2510350974
291	0.2509701481
292	0.2509217191
293	0.2508366206
294	0.2507874525
295	0.2506981408
296	0.2506651686
297	0.2506263365
298	0.250487233
299	0.2504480702
300	0.2504042227
301	0.2503368878
302	0.2503033867
303	0.2502532844
304	0.2501854168
305	0.2501547349
306	0.250098114
307	0.2500651028
308	0.2500348667
309	0.2499962978
310	0.2499561831
311	0.249926114
312	0.2498917654
313	0.2498505479
314	0.249814332
315	0.2497311035
316	0.2496761334
317	0.2496194891
318	0.2495882701
319	0.2495535497
320	0.2495253296
321	0.2494844671
322	0.2494546302
323	0.2494027595
324	0.2493483614
325	0.2492771951
326	0.2492286993
327	0.2491841021
328	0.2491360871
329	0.2491079906
330	0.2490644827
331	0.2490169957
332	0.2488992273
333	0.2488558383
334	0.2488254624
335	0.248793494
336	0.2487458071
337	0.2486903997
338	0.2486235882
339	0.2485919832
340	0.2485576083
341	0.2485042606
342	0.2484725076
343	0.2484272696
344	0.2483965742
345	0.2483723576
346	0.2483271195
347	0.2482805027
348	0.2482334392
349	0.2482045397
350	0.2481658957
351	0.2481401465
352	0.2481090752
353	0.2480608219
354	0.2479851518
355	0.2479447289
356	0.2478980515
357	0.2478646375
358	0.2478312587
359	0.2477925789
360	0.247748471
361	0.2477146797
362	0.247688225
363	0.2476415504
364	0.2475956361
365	0.2475731916
366	0.247524937
367	0.2474932646
368	0.2474513778
369	0.2473933042
370	0.2473535556
371	0.2473153351
372	0.2472794202
373	0.2472362727
374	0.2471526746
375	0.2470842161
376	0.2470406164
377	0.2470065518
378	0.2469708556
379	0.2469402877
380	0.246916459
381	0.246858674
382	0.2468214989
383	0.2467940412
384	0.2467271846
385	0.2466864795
386	0.246651324
387	0.2465956569
388	0.2465490626
389	0.2465158111
390	0.2464732461
391	0.2464245361
392	0.2463967925
393	0.246348597
394	0.2463083757
395	0.2462508125
396	0.2462170257
397	0.2461689361
398	0.2461195978
399	0.2460713625
